B02730,R176897,D1782E,"An extempore sermon, preached upon malt, by a way of caution to good fellows; at the request of two schollars, / by a lover of ale, out of a hallow [sic] tree.","Lover of ale.; Dod, John, 1549?-1645.",s n,No pubplace,Great Britain; Scotland; Temperance; England; 17th century.; Alcoholism; Broadsides; Early works to 1800.,1691
A88921,R180441,M1086,"Brontologia sacra: The voice of the glorious God in the thunder: explained and applyed in a sermon uttered by a minister of the Gospel in a lecture unto an assembly of Christians abroad, at the very same time when the thunder was by the permission and providence of God falling upon his own house at home. : Whereunto are added some reflections formed on the Lords-Day following by the voices of thunders, upon the great things which the great God is now doing in the world. : A discourse useful for all men at all times, but especially intended for an entertainment in the hours of thunder.","Mather, Cotton, 1663-1728.",Printed by John Astwood,London,"17th century.; Sermons, American; Congregational churches; Sermons.",1695
A81783,R224534,D2409A,"Sermon prononcé la veille des funerailles de la Reyne Par Jean Dubourdieu, ministre de l'Eglise Francoise de la Savoye.","Dubourdieu, Jean, 1642?-1720.",se vend chez veusue Maret Marchand libraire dans Salisbury Exchange dans le Strand,A Londres,"Queen of England, 1662-1694; Mary; Death and burial; II,; 17th century.; Funeral sermons; Sermons, English; Early works to 1800.",1695
A80847,R207455,C6997,"The peoples need of a living pastor: asserted and explained in a sermon, preached Novemb. 4. 1656. At the sad and solemn funerals of that late, learned, pious and eminently hopeful minister of the gospel, Mr. John Frost, batchelor in divinity, late fellow of St. Johns Colledge in Cambridge, and pastor of St. Olaves Hart-steeet [sic], London. Together with a narrative of his life and death. By Z. C. minister of the Word at Botolph-Aldgate, London.","Crofton, Zachary, 1625 or 6-1672.",printed by E Cotes for Thomas Parkhurst at the Three Crowns over against the great conduit at the lower end of Cheapside,London,"17th century.; Funeral sermons; Sermons, English",1657
A84939,R177209,F2249A,"The gale of opportunity. Or, A sermon preached (at Lidbury-North) at the funerall of the worshipfull Humphrey Walcot, of Walcot, Esq. June 8, 1650 and now published, by Thomas Froysell, Minister of the Gospell at Clunne in Shropshire.","Froysell, Thomas, d. ca. 1672.",Printed by M S and are to be sold by H B,London,"Sermons.; Bible.; 17th century.; Walcot, Humphrey, 1586-1650.; John XII, 8; Sermons, English; Funeral sermons.; N.T.",1652
A87808,R204196,K682,"The life-guard of a loyall Christian, described in a sermon, preached at St Peters Corn-hill, upon Sunday in the afternoone, May 7. 1648. / By Paul Knell, Master in Arts of Clare-Hall in Cambridge: sometimes chaplaine to a regiment of curiasiers in his Majesties Army.","Knell, Paul, 1615?-1664.",s n,London,"O.T.; Sermons; Christian life; Isaiah XLIII, 2; Bible.; 17th century.; Sermons, English; Early works to 1800.",1648
A85305,R42987,F951A,"A sermon preached at the Chappel Royal in the Tower, upon Sunday the sixth day of January, 1694/5, being the feast of the Epiphany as also the day whereon the greatest part of that audience  appeared in deep mourning, upon the death of Her Sacred Majesty, our late gracious Queen Mary / by John Finglas ...","Finglas, John, Prebend of St. Audoens, Dublin.",Printed for the Author,London,"Queen of England, 1662-1694.; Mary; II,; 17th century.; Funeral sermons.; Sermons, English",1695
A80971,R208967,C713,"An off-spring of mercy, issuing out of the womb of cruelty. or, A passion sermon preached at Christs-Church in Oxford, by that late renowned ornament of the University, William Carwright.","Cartwright, William, 1611-1643.",Printed by A M and are to be sold by Iohn Brown at the guilded Acorn in Pauls Church yard,London,"17th century.; Sermons, English",1652
A87672,R201011,K255,"A sermon preached before the Commissioners of both kingdomes, the same day they delivered the propositions to the Kings Maiesty, for a safe and well-grounded peace. / By Samuel Kem, Batchelour in Divinity.","Kem, Samuel, 1604-1670.",Printed for R Austin,London,"Great Britain; History; Sermons; 17th century.; Peace; Civil War, 1642-1649; Sermons, English",1646
A85792,R230549,G2275C,A sermon of Mr William Guthrey. Hosea XIII. Ver. IX.,"Guthrie, William, 1620-1665.",s n,S l,"17th century.; Sermons, English",1664
A86326,R200280,H1839,"The life and death of David. A sermon preached at the funeralls of that worthy member of the Honourable House of Commons, William Strode Esquire, in the Abbey Church in Westminster, Septemb. 22⁰. 1645. / By Gaspar Hickes, a member of the Assembly of Divines.","Hickes, Gaspar, 1605-1677.",Printed by G Miller for Christopher Meredith at the signe of the Crane in Pauls Church yard,London,"Sermons.; Bible.; 17th century.; Funeral sermons; Acts XIII, 36; Strode, William, 1598 or 9-1645; Early works to 1800.; N.T.",1645
A81241,R4759,C830,"Gods rising, his enemies scattering; delivered in a sermon before the Honourable House of Commons, at their solemne fast, 26. Octob. 1642. But, through many occasions and hinderances, not printed till this 25. of May 1644. By Thomas Case, preacher, at Milk-street, London, and one of the Assembly of Divines.","England and Wales. Parliament. House of Commons.; Case, Thomas, 1598-1682.",Printed by J R for Luke Fawne and are to be sold at his shop in Pauls Church yard at the signe of the Parrot,London,"O.T.; Fast-day sermons; Sermons; Bible.; 17th century.; Sermons, English; Psalms LXVIII, 1-2; Early works to 1800.",1644
A85236,R205349,F806,"A sermon preached before His Majesty at Newport in the Isle of VVight, November the 29. 1648. being the Fast-day. By H. Ferne, D.D.","Ferne, H. (Henry), 1602-1662.",Printed for R Royston in Ivie lane,London,"17th century.; Fast-day sermons; Sermons, English",1648
A81893,R231467,D2814,"The great corruption of subtile self, discovered, and driven from it's lurking-places and starting-holes And the contrary grace, self-denyal commended, as an indispensably necessary requisite to the acceptable and successfull performance of all commanded-duties, and as notably fitting for taking up of the cross, and following Christ. In seven sermons. By master James Durham, late minister of the gospel in Glasgow.","Durham, James, 1622-1658.",printed by the heir of Andrew Anderson printer to the King s most excellent Majesty,Edinburgh,"Sermons, English; Christian life; 17th century.; Early works to 1800.",1686
A86368,R206929,H2065,"Eighteene choice and usefull sermons, by Benjamin Hinton, B.D. late minister of Hendon. And sometime fellow of Trinity Colledge in Cambridge. Imprimatur, Edm: Calamy. 1650.","Hinton, Benjamin.",Printed by J C for Humphery Moseley at the Princes Armes in S Pauls Church yard and for R Wodenothe at the Starre under S Peters Church in Cornehill,London,"17th century.; Sermons, English",1650
A80745,R231691,C6765,"The saints fulnesse of joy in their fellowship with God presented in a sermon preached July 21. 1646. before the Honorable House of Commons in Margarets Westminster, being the day appointed for thankesgiving for the surrender of Oxford. By the least of saints, and the meanest of the ministers of the Gospel, W. Cradock.","Cradock, Walter, 1606?-1659.",printed by Matthew Simmons and are to be sold by George VVhittington at the blew Anchor neere the Royall Exchange,London,"Siege, 1645; History; Sermons; 17th century.; Early works to 1800.; Oxford (England); Sermons, English",1646
A81881,R175904,D269B,The vanity of human respects. In a sermon. / By William Darel.,"Darrell, William, 1651-1721.",Printed for John Tottenham in London House Court in St Paul s Church yard,London,"Luke II, 49; Sermons.; Bible.; 17th century.; Sermons, English; N.T.",1688
A88594,R202781,L3178,"A treatise of effectual calling and election. In XVI. sermons, on 2 Pet. 1.10 Wherein a Christian may discern, whether yet he be effectually called and elected. And what course he ought to take that he may attain the assurance thereof. Preached by that faithful servant of Christ, Mr. Christopher Love, late minister of Lawrence Jury, London.","Calamy, Edward, 1600-1666.; Cross, Thomas, fl. 1632-1682,; Love, Christopher, 1618-1651.",Printed for John Rothwell and are to be sold by John Clark entering into Mercers Chappel at the lower end of Cheapside,London,"Sermons; Bible.; Peter, 2nd, I, 10; Election (Theology); Early works to 1800.; N.T.",1653
A87741,R43875,K475J,"Ten sermons preached by that eminent divine, Matthew Killiray, B.D. ... ; to which are added excellent set forms of prayer and graces for children.","Killiray, Matthew.",Printed for William Thackary,London,"17th century.; Early works to 1800.; Sermons, English; Prayers",1675
A81211,R200591,C780,"Ioy out-joyed: or, Joy in overcoming evil spirits and evil men, overcome by better joy: set forth in a sermon at Martins in the fields, to the Right Honourable the Lords assembled in Parliament, upon the day of their solemn rejoycing and praising God, for reducing the city of Chester by the forces of the Parliament, under the command of Sr William Brereton, February 19. 1645. / By Joseph Caryl minister of the Gospel at Magnus neer London Bridge.","Caryl, Joseph, 1602-1673.; England and Wales. Parliament.",Printed by G M for John Rothwel at the signe of the Sun and Fountain in Pauls Church yard and Giles Calvert at the signe of the Black spread Eagle at the west end of Pauls,London,"Great Britain; History; Sermons.; Sermons; Bible.; 17th century.; Early works to 1800.; Sermons, English; Luke X, 20; Civil War, 1642-1649; N.T.",1646
A87669,R14495,K252,"The messengers preparation for an addresse to the King for a well-grounded peace. As it was delivered in a sermon, at Oxford, on Sunday, Novemb. 24. 1644. Before the commissioners of both kingdomes, the morning before their presenting the propositions to His Majestie. / By Samuel Kem, Batchelour in Divinity.","Kem, Samuel, 1604-1670.",Printed by Robert Austin in the Old Baily,London,"Great Britain; O.T.; History; Sermons.; Sermons; Bible.; Early works to 1800.; Civil War, 1642-1649; Sermons, English; Esther IV, 16",1644
A81239,R200694,C827,"Deliverance-obstruction: or, The set-backs of reformation. Discovered in a sermon before the Right Honourable the House of Peers, in Parliament now assembled. Upon the monthly fast, March 25. 1646. / By Tho. Case, preacher in Milkstreet London, and one of the Assembly of Divines.","Case, Thomas, 1598-1682.; England and Wales. Parliament. House of Lords.",Printed by Ruth Raworth for Luke Fawne at the signe of the Parrot in Paul s Church yard,London,"Exodus V, 22-23; O.T.; Fast-day sermons; Sermons.; Bible.; 17th century.; Sermons, English",1646
A82316,R200046,D925,"Power from on high, or, The power of the Holy Ghost dispersed through the whole body of Christ, and communicated to each member according to its place and use in that body. Delivered in two sermons, on Acts 1.8. and now published, for the insturction [sic] and use of those that are spirituall. / By William Dell: minister of the gospel of Jesus Christ at Yelden in the county of Bedford.","Dell, William, d. 1664.",Printed for Henry Overton and are to be sold at his shop in Popes head Alley,London,"Holy Spirit; Sermons.; Sermons; Bible.; Acts I, 8; 17th century.; Early works to 1800.; Sermons, English; N.T.",1645
A84922,R177273,F2202A,"The divine original and the supreme dignity of kings, no defensative against death. A sermon preached the 22. February 1684/5 S.V. before the right worshipful the fellowship of Merchants Adventurers of England, resideing [sic] at Dort, upon occasion of the decease of our late Most Gracious Soveraign Charles II, of ever blessed memorie. / By Aug. Frezer ...","Frezer, Augustine, b. 1649 or 50.",Printed by Reinier Leers and are to be sold by Nicholas Cox near Queens Colledge Oxon,At Rotterdam,"King of England, 1630-1685; Netherlands; Divine right of kings; O.T.; Psalms, LXXXII, 6-8; Sermons.; II,; Bible.; Funeral sermons; Charles; Early works to 1800.",1685
A80874,R231183,C703A,"A sermon preached July 17. 1676. in the Cathedral Church of St. Peter in York, before the Right Honourable Sir Francis North, Lord Chief Justice of the Common Pleas; and the Honourable Vere Bertie Esquire, one of the barons of the Exchequer; His Majesties judges of assize for the Northern Circuit By Thomas Cartwright D.D. and Dean of Ripon, chaplain in ordiary to His Majesty.","Cartwright, Thomas, 1634-1689.",In the Savoy printed by Thomas Newcomb and are to be sold by Richard Lambert bookseller in York,London,"O.T.; Sermons; Bible.; 17th century.; Sermons, English; Judges XVII, 6; Early works to 1800.",1676
A84178,R208050,E3554,"The churches patience and faith in afflictions. Delivered in a sermon at the funerall of the right worshipfull, and vertuous Cecilia Lady Peyton, October, 30. In the parish church of Southfleet in Kent. By George Eves, rector of Hartley, neare adjoyning thereunto.","Eves, George, 1613 or 14-1667.",printed for G Bedell and T Collins at the Middle Temple Gate in Fleet street,London,"Lady, d. 1660; 17th century.; Funeral sermons; Peyton, Cecilia,; Early works to 1800.",1661
A86503,R209201,H2572,"Plain dealing or the cause and cure of the present evils of the times. Wherein you have set forth, 1 The dreadful decension of the Devill. 2 His direfull wrath. 3 The woeful woe to the wicked world. 4 The mystery of all. 5 The history and computation of times devolving all upon this age, and downward. 6 The art of resisting temptations, in this house of temptation. In a sermon before John Kendrick Lord Mayor of London, upon the Lords day after the great eclipse (as the astrologers would have had it.) Upon occasion whereof, something was spoken touching astrology: By Dr. Nath. Homes.","Homes, Nathanael, 1599-1678.",Printed for R I and are to be sold by Anthony Williamson at the Queens Arms in Pauls Church yard near the West end,London,"Commonwealth and Protectorate, 1649-1660; Great Britain; History; 17th century.; Early works to 1800.; Sermons, English",1652
A87566,R201315,J654,"A sleeping sicknes the distemper of the times: as it was discovered in its curse and cure. In a sermon preached before the Right Honourable the House of Peeres in the Abby-Church at Westminster upon the 27th of January, the day appointed for their solemne and publicke humiliation. / By William Jenkyn Minister of Gods Word at Christ-Church London.","Jenkyn, William, 1613-1685.",Printed by W Wilson for Christopher Meredith at the Crane in Pauls Church yard,London,"O.T.; Fast-day sermons; Sermons.; Isaiah XXIX, 10; Bible.; 17th century.; Sermons, English",1647
A86600,R208387,H2918,"Clavis exousiasichē [sic]: The key of ordination. Or, Missio potestativa. Oichonomichē: ministerial power: or, Authoritative separation of men to the work of Christ, a ministerial privilege.A sermon preached at the ordination of Mr. Thomas Porter Master of Arts, Mr. John Wilson, Mr. David Jenks, Mr. George Burraston, and Mr. Tho: Soley, at Whitchurch in the county of Salop. / By Aylmer Houghton, minister of the word at Prees in the said county.","Houghton, Aylmer.",printed by R I for Tho Parkhurst over against the Great Conduit in Cheapside,London,"Sermons.; Bible.; 17th century.; Ordination; Early works to 1800.; Sermons, English; Acts XIII, 2-3; N.T.",1656
A82007,R231752,D456A,"A sermon preach'd before the King at White-Hall, Novemb. 5. 1696. By Sir William Dawes, baronet, D.D. and chaplain in ordinary to His Majesty. Publish'd by His Majesties special command","Dawes, William, Sir, 1671-1724.",printed for Thomas Speed at the three Crowns near the Royal Exchange in Cornhill,London,"17th century.; Sermons, English",1696
A85486,R202327,G1394,"The right vvay: or A direction for obtaining good successe in a weighty enterprise. Set out in a sermon preached on the 12th of September, 1648. before the Lords on a day of humiliation for a blessing on a treaty between His Majesties and the Parliaments commissioners. / By W. Gouge.","Gouge, William, 1578-1653.",Printed by A Miller for Ioshua Kirton at the signe of the Spread Eagle in Pauls Church yard,London,"17th century.; Sermons, English",1648
A85863,R202119,G371,"A sermon preached in the Temple-chappel, at the funeral of the Right Reverend Father in God, Dr. Brounrig late Lord Bishop of Exceter, who died Decem. 7. and was solemnly buried Decemb. 17. in that chappel. With an account of his life and death· / Both dedicated to those honorable societies, by the author Dr. Gauden.","Gauden, John, 1605-1662.",Printed by J Best for Andrew Crook at the Green Dragon in S Pauls Church yard,London,"O.T.; Sermons.; Kings, 2nd II, 12; Brownrig, Ralph, 1592-1659.; Bible.; 17th century.; Funeral sermons; Sermons, English; Early works to 1800.",1660
A85776,R207549,G2233,"Tvvo sermons first, an angel, in a vision, appeareth to a souldier. Acts. 10. 3, 4. He saw in a vision, evidently, &c. Second, a saviour, in mercy, appeareth to a sinner. Matth. 11. 28. Come unto me, all, &c. Preached before the University, at Oxford, some years since: by John Gumbleden B.D.","Gumbleden, John, 1598 or 9-1657.",printed for Simon Miller at the Starre in St Pauls Church yard,London,"Sermons; Bible.; Acts X, 3-4; Matthew XI, 28; Early works to 1800.; 17th century.; Sermons, English; N.T.",1657
A80446,R207121,C6104,"Saul smitten for not smiting Amalek according to the severity of the command: and the residue of the spoil sentenced to death, which Saul preserved and spared alive, (to wit) man, woman, infant, suckling, oxe, sheep, camel and ass. Being an allegorical allusion to the present passages of the times, delivered in a sermon at Somerset-House, May 1. upon the dissolution of the late Parliament. Also, a great and notable blow is given at the serpent, the ruine of the whore and her familie determined; wherein is discovered what she was, and is, and the several husbands that have married her, deceased from her, and been decieved by her; also the several children which by her have been brought forth and nursed up, with a dissolution of all unjust government, laws rules and worships exercised over mens lives, liberties and estates, and the restoring of all just government, the peoples rights and priviledges by the Lord Jesus, into its perfect state. As apprehended by Richard Coppin.","Coppin, Richard, fl. 1646-1659.",Printed and are to be sold by WIlliam Larner at the Blackmore head in Fleet bridge and by Richard Moon at the Seven Stars near the North door of Pauls,London,"O.T.; Sermons.; Bible.; Samuel, 1st XV, 3; 17th century.; Sermons, English",1653
A80425,R230222,C6063,"The good man perished from the earth. Being a sermon preached upon the death of that eminent and faithful servant of Christ Mr. Christr. Fowler formerly of Reading, and lastly of London minister. By William Cooper M.A. and minister of the gospel.","Cooper, William, minister at St. Olave's Southwark.",s n,London,"Sermons, English; Early works to 1800.; 17th century.; Fowler, Christopher, 1610?-1678",1677
A81856,R204193,D2658,"Angels rejoicing for sinners repenting. / Delivered in a sermon by the Right Reverend Father in God, Brian Duppa, now Bishop of Salisbury.","Duppa, Brian, 1588-1662.",Printed for Rich Royston at the Angel in Ivy lane,London,"17th century.; Sermons, English",1648
A86493,R207573,H2532,"Of the nature of faith. A sermon, / by Barten Holyday, Doctor of Divinity.","Holyday, Barton, 1593-1661.",Printed by S G for W Lee and are to be sold at his shop at the signe of the Turks Head in Fleetstreet over against Fetter lane end,London,"Sermons.; Bible.; 17th century.; Faith; Early works to 1800.; Hebrews XI, 4; Sermons, English; N.T.",1654
A88420,R201168,L2800,"A sermon preached before the Honourable House of Commons assembled in Parliament: at their late solemn fast, Octob. 28. 1646. in Margarets Westminster. / By Nicholas Lockyer, M.A.","Lockyer, Nicholas, 1611-1685.",Printed by Matthew Simmons for John Rothwell at the Sun and Fountaine in Pauls Church yard and Han Allen at the Bible in Popes head Alley,London,"Isaiah LIII, 10; O.T.; Fast-day sermons; Sermons.; Bible.; 17th century.; Sermons, English",1646
A84322,R209968,E3949,"The church-sleeper awakened, or A discourse on Act. 20. 9. being the substance of two sermons composed and preached at Corke in Ireland. / By Joseph Eyres master of arts, and a servant of God in the Gospel of his son.","Eyres, Joseph.",Printed by W Godbid for Joseph Cranford at the sign of the kings Head in St Pauls Church yard,London,"Sermons; Bible.; 17th century.; Early works to 1800.; Sermons, English; Acts XX, 9; N.T.",1659
A86659,R202479,H3207,"Sermo secularis. Or, A sermon to bring to remembrance the dealings of Jehovah with this kingdom of England, and our ingratitude and dis-loyalty to him, in this last century of years. Ab anno nativitatis Christi, 1547. usque ad præsentem annum, 1647. The time of the ruine of Rome, is herein according to Gods Word modestly pointed at. With sundry uses seasonable and sutable for all degrees and sorts of people. / Preached at Belstead, neer Ipswich, July 4, 1647. By Benjamin Hubbard, preacher of the Word of God at Copdock in Suffolke.","Hubbard, Benjamin.",Printed by R L for Nathanael Webb and William Grantbam i e Grantham at the Signe of the Greyhound in Pauls Church yard,London,"Great Britain; History; 17th century.; Early works to 1800.; Tudors, 1485-1603; Wrath; God; Early Stuarts, 1603-1649; Sermons, English",1648
A83565,R209035,E242,"Great Britains resurrection. Or, England's complacencie in her royal soveraign King Charles the Second. A sermon preached in the lecture at Gloucester, June 5 1660. By Richard Eedes minister of the gospel at Bps Cleeve.","Eedes, Richard, d. 1686.",printed by Ja Cottrel for Henry Fletcher at the sign of the three Gilt Cups in S Pauls Church yard,London,"King of England, 1630-1685; Sermons; II,; 17th century.; Sermons, English; Charles; Early works to 1800.",1660
A86905,R12189,H3739,"These spirituall verses of Iames Hunt, concerning the down-fall of the ceremonies. VVhereby the bishops and their clergie have made, as it were, a trade to blinde and deceive the children of God, whom Christ Jesus hath redeemed from the bondage of Hell and corruption, by his suffering upon the crosse, and the power of his resurrection.","Hunt, James, 17th cent.",Printed for Andrew Coe,London,Customs and practices; Bishops; Church of England; England; Controversial literature; Early works to 1800.,1642
A81870,R209696,D2672,"A cluster of grapes taken out of the basket of the woman of Canaan. Or, Counsel and comfort for beleeving soules, comming to Christ and meeting with discouragement. Being the summe of certain sermons preached upon Matthew 15. from verse 22. to verse 29. Wherein among other things, is declared more particularly, I. What seeming harsh entertainment the soul may find from Christ. II. What holy, and humble behaviour the soul ought to have under that entertainment. III. How blessed and comfortable a conclusion Christ will make with the soul at last. / By John Durant preacher of the gospel in Canterbury.","Durant, John, b. 1620.",Printed for L C and are to bee sold by H Mortlocke at the Phœnix in Pauls Church yard neer the little north door,London,"Sermons.; Bible.; 17th century.; Matthew XV, 22-29; Sermons, English; N.T.",1660
A87519,R20621,J563,The return of the sword or a divine prognostick delivered in a sermon at Newcastle : manifesting that breach of covenant is a prognostick of the return of the sword. / By Robert Jenison. Dr. of D.,"Jenison, Robert, 1584?-1652.",Printed by John Macock for Luke Favvne at the sign of the Parrot in Pauls Church yard,London,"O.T.; Bible; Sermons; 17th century.; Jeremiah XXXIV, 23; Solemn League and Covenant (1643); Sermons, English; Early works to 1800.",1648
A86974,R208332,H414,"A sermon preach't to his Maiesty, at the court of White-hall. Aug.8. / By Jos. B. of Exon.","Hall, Joseph, 1574-1656.",Printed by M Flesher for Nat Butter,London,"Great Britain; O.T.; History; Sermons; Psalms CVII, 34; Bible.; 17th century.; Sermons, English; Charles I, 1625-1649; Early works to 1800.",1641
A87303,R171961,I307aA,"An act for keeping and celebrating the twenty third of October as an anniversary thanksgiving in the kingdom of Ireland. Together with a form of divine service, to be used there on the same day. : These are to give notice, that the Protestants of Ireland, at present in and about the city of London, intend to meet (at the Church of St. Mary le Bow) upon Wednesday the twenty third day of this instant October, at ten of the clock in the morning, in pursuance of an act of Parliament in that kingdom, to give thanks to almighty God for the deliverance from the bloody massacre and rebellion begun by the Irish Papists the twenty third day of October, 1641.",Ireland.; Ireland. Parliament.,Printed for Robert Clavell at the Peacock in St Paul s Church yard,London,"Rebellion of 1641.; Anniversaries, etc.; History; Ireland",1689
A81102,R229663,C7437B,An earnest plea for constant attendance at the Lord's table In a sermon preach'd June 4.1696. By T. Cruso.,"Cruso, Timothy, 1656?-1697.",printed by Tho Cockeril senr junr at the Three Legs in the Poultrey,London,"Spiritual life; Sermons; 17th century.; Sermons, English; Lord's Supper; Early works to 1800.",1696
A80790,R14778,C687,"The doctrine of faith. Or, The prime and principall points which a Christian is to know and believe. Handled in sundry sermons upon texts of scripture selected and chosen for the purpose. Wherein the method of the creed, (commonly called the Apostles Creed) is observed; and the articles thereof are confirmed, explained and applied, for the instructing of the ignorant, and the establishing of all in the truth. / By Christopher Cartwright, Minister of the Word at York.","Cartwright, Christopher, 1602-1658.",Printed by R A for Richard Lovvndes at the Unicorn on Lud gate Hill over against Bell Savage,London,"Apostles' Creed; Church of England; Sermons; Faith; 17th century.; Doctrines; Sermons, English; Early works to 1800.",1650
A85709,R4434,G2016,"A patheticall perswasion to pray for publick peace: propounded in a sermon preached in the cathedrall church of Saint Paul, Octob. 2. 1642. By Matthew Griffith, rector of S. Mary Magdalens neer Old-Fishstreet, London.","Griffith, Matthew, 1599?-1665.",Printed for Richard Royston,London,"Great Britain; O.T.; History; 17th Century.; Sermons; Bible.; Psalms CXXII, 6; Civil War, 1642-1649",1642
A89490,R207492,M47,"The ranters last sermon. With the manner of their meetings, ceremonies, and actions; also their damnable, blasphemous and diabolicall tenents; delivered in an exercise neer Pissing-conduit. The third day of the week, being the 2 of August. 1654. With their mock-Psalme. Also God's wonderfull judgements shewed upon Ranters, Quakers and Shakers, and other wicked and profane persons at their meetings and exercises in London and other places. Written by J.M. (a deluded brother) lately escaped out of their snare.",J. M.,Printed by J C,London,"Quakers; 17th century.; Ranters; Sermons, English; Early works to 1800.",1654
A86645,R202554,H3149,"Real comforts, extracted from moral and spiritual principles. Presented in a sermon, preached at the funeral of that reverend divine Mr. Thomas Ball late minister of Gods Word at Northampton, upon the 21. day of June, A.D. 1659. With a narrative of his life and death. By John Howes, M.A. rector of Abington near Northampton.","Howes, John, 1613-1685.",printed by S Griffin for R Royston and are to sold sic at the Angel in Ivy lane,London,"17th century.; Funeral sermons; Sermons, English; Ball, Thomas, 1589 or 90-1659.; Early works to 1800.",1660
A86525,R1512,H2645,"The danger of desertion or, A farvvell sermon of Mr. Thomas Hooker, sometimes minister of Gods Word at Chainsford in Essex; but now of New England. Preached immediately before his departure out of England. Together with ten particular rules to be practised every day by converted Christians.","Hooker, Thomas, 1586-1647.",Printed by G M for George Edwards in the Old Baily in Greene Arbour at the signe of the Angell,London,"Christian converts; O.T.; Sermons; Bible.; Conduct of life; Jeremiah XIV, 9; Farewell sermons; Early works to 1800.",1641
A80952,R206017,C7117A,"A most learned, conscientious, and devout-exercise; held forth the last Lords-day, at Sir Peter Temples, in Lincolnes-Inne-Fields; / by Lieut.-General Crumwell. As it was faithfully taken in characters by Aaron Guerdon.","Cromwell, Oliver, 1599-1658, attributed name.; Guerdon, Aaron.",s n,London,"Cromwell, Oliver, 1599-1658; Great Britain; 1642-1649; Political satire, English; 17th century.; Politics and government; Early works to 1800.; Humor",1649
A87667,R200795,K250,"The king of kings his privie marks for the kingdoms choyce of new members: or A project for the kingdoms or cities speedy prosperity; and the benefit and blessing attending a nevv model. / Delivered in a sermon by Samuel Kem B.D. upon the choyce of the new burgesses of Bristol in that city, Feb. 28. 1645.","Kem, Samuel, 1604-1670.",Printed for John Field,London,"O.T.; Sermons.; Bible.; 17th century.; Proverbs XI, 10-11; Sermons, English",1646
A87872,R22162,L1164,"The martyrdome of King Charles, or His conformity with Christ in his sufferings. In a sermon on I Cor. 2.8. / preached at Bredah, before his Maiesty of Great Britaine, and the Princesse of Orange. By the Bishop of Downe. June 3. 13. 1649.","Leslie, Henry, 1580-1661.",Printed by Samuel Broun English bookseller dwelling in the Achter om at the signe of the English Printing house,Hage,"King of England, 1600-1649; Sermons; 17th century.; I,; Sermons, English; Charles; Early works to 1800.",1649
A81578,R225588,D1748aA,"A sermon preached on the fast-day, December 22. 1680. In the Cathedral Church of Rochester. By Robert Dixon, D.D vice-dean of the said church","Dixon, Robert, d. 1688.",printed by S Roycroft for Robert Clavel at the sign of the Peacock in St Paul s Church yard,London,Fast-day sermons; 17th century.,1681
A81254,R200227,C842,"A sermon preached before the Honourable House of Commons at Westminster, August 22. 1645. Being the day appointed for their solemn thanksgiving unto God for his several mercies to the forces of the Parliament in divers parts of the kingdome, in the gaining of the towns of Bath and Bridgewater, and of Scarborough-Castle, and Sherborn-Castle, and for the dispersing of the Clubmen, and the good successe in Pembroke-shire. By Thomas Case, preacher at Milkstreet, and one of the Assembly of Divines.","England and Wales. Parliament. House of Commons.; Case, Thomas, 1598-1682.",Printed by Ruth Raworth for Luke Fawne at the signe of the Parrot in Pauls Church yard,London,"Great Britain; O.T.; Isaiah XLIII, 14; History; Sermons.; Sermons; Bible.; 17th century.; Early works to 1800.; Civil War, 1642-1649; Sermons, English",1645
A85799,R210173,G232,"XVI sermons preached in the University of Oxford, and at court. / By Rich. Gardiner, D.D. Chaplain in ordinary to King Charles deceased. Together with his sermons preached in Bow-Church London, on the anniversary meeting of Hereford-shire natives, June 24. 1658.","Gardiner, Richard, 1591-1670.",Printed by James Cottiel for Joseph Barber at the Lamb and Samuel Speed at the printing Press in St Paul s Church yard,London,"17th century; John XIX, 27; Sermons.; Bible.; Early works to 1800.; Sermons, English; N.T.",1659
A81246,R209493,C834,"The morning-exercise, or some short notes taken out of the morning-sermons which divers reverend ministers of the gospel, in the city of London preached in Giles in the Fields, during the moneth of May 1655. / By Tho. Case, minister of Gods word.","Case, Thomas, 1598-1682.",Printed by T R and E M for Robert Gibbs in Chancery lane near Serjeants Inne,London,"17th century.; Sermons, English",1655
A81645,R208952,D1958A,"Englands jubliee: or, Her happy return from captivity: in a sermon preached at St. Botolphs Aldersgate, London. Since presented toot the Kings most Excellent Majesty, King Charles II. By John Douch Rector of Stalbridge in the county of Dorset.","Douch, John, b. 1622 or 3.",printed by R Royston at the Angel in Ivy lane,London,"Great Britain; Restoration, 1660-1688; History; 17th century.; Early works to 1800.; Sermons, English",1660
A81177,R230231,C7583,"A sermon preached before the worshipful mayor of Bridgewater, and several other members of that ancient corporation, in the county of Somerset At a lecture design'd for reformation of manners. By John Cumming M.A. minister of the gospel in Shepton-Mallet, in the same county.","Cumming, John, minister of the gospel in Shepton-Mallet.",Printed for Tho Browne bookseller in Shepton Mallet,London,"Revelation II, 2; Sermons; Bible.; 17th century.; Manners and customs; Sermons, English; Early works to 1800.; N.T.",1699
A85021,R202168,F2449,"The just mans funeral. Lately delivered in a sermon at Chelsey, before several persons of honour and worship. By Thomas Fuller.","Fuller, Thomas, 1608-1661.",Printed by William Bentley for John Williams at the Crown in S Pauls Church yard,London,"17th century.; Sermons, English",1649
