A68214,0,2,11,IMAGE,0,"P A G Ei The fyrste Sermon made the.xix. day of March, in the yere of our lord a.","PAGEi PAGEi PAGEi PAGEi The First Sermon made the xix day of March, in the year of our lord a."
A68214,760,4,71,IMAGE,89,"& besech god to restore vs to the primatiue church, which neuer yet had nor shal haue ani match or like.","& beseech god to restore us to the primitive Church, which never yet had nor shall have ani match or like."
A68214,761,4,71,IMAGE,89,"Before all thynges beware of an oth by any creatures, except ye will be glad to haue gods displeasure,","Before all things beware of an oath by any creatures, except you will be glad to have God's displeasure,"
A68214,762,4,71,IMAGE,89,"Now foloweth ye sixt dauger of Ionas, howe he is caste into the sea.","Now Followeth you sixt dauger of Jonah, how he is cast into the sea."
A68214,764,4,71,IMAGE,90,"So they toke Ionas & cast him into the sea,","So they took Jonah & cast him into the sea,"
A68214,765,4,71,IMAGE,90,& y sea left raging.,& y sea left raging.
A68214,766,4,71,IMAGE,90,"And ye me fered ye lord exceadinglye, doinge sacrifices,","And you me feared you lord exceedingly, doing Sacrifices,"
A68214,767,4,71,IMAGE,90,& making vowes vnto the lord.,& making vows unto the lord.
A68214,769,4,71,IMAGE,91,Here se we two thynges:,Here see we two things:
A68214,770,4,71,IMAGE,91,"Ionas cast into the sea, and howe the sea left there vpon hys ragynge.","Jonah cast into the sea, and how the sea left there upon his raging."
A68214,771,4,71,IMAGE,91,"Out of the fyrste learneth euery Magistrate & king P A G Elxii their office to caste out of theyr comune wealth, as manye Ionasses as they fynde stoborne,","Out of the First learneth every Magistrate & King PAGElxii PAGElxii PAGElxii PAGElxii their office to cast out of their Common wealth, as many Jonah as they find stoborne,"
A68214,772,4,71,IMAGE,91,& wyl not amende theyr lyues.,& will not amend their lives.
A68214,773,4,71,IMAGE,91,"If Ionas in the sea could not be saued, that offended but in neglectyng of hys dewtie, and yet confessed his faute,","If Jonah in the sea could not be saved, that offended but in neglecting of his duty, and yet confessed his fault,"
A68214,774,4,71,IMAGE,91,"& conuerted ye mariners, what maye wee thyncke:","& converted you Mariners, what may we think:"
A68214,775,4,71,IMAGE,91,is it possible to sayle or lyue quyetlye wyth so mani obstinate Ionasses:,is it possible to sail or live quietly with so mani obstinate Jonah:
A68214,776,4,71,IMAGE,91,Nay doutles: what remedy the?,Nay doubtless: what remedy the?
A68214,777,4,71,IMAGE,91,Let the be cast all into the sea.,Let thee be cast all into the sea.
A68214,778,4,71,IMAGE,91,"But lest me shuld be to much offedid wt this seuere punyshment as though I wold al to be cast in to ye sea,","But lest me should be to much offedid with this severe punishment as though I would all to be cast in to you sea,"
A68214,779,4,72,IMAGE,91,"I wil bring ye examinacio of ye mater to the.iiii. sorts of people yt I spake of before, and so appoint of euery sorte who the kinges magestie must cast into the sea, or sende to the Gallies.","I will bring you examinacio of the mater to the iiii sorts of people that I spoke of before, and so appoint of every sort who the Kings Majesty must cast into the sea, or send to the Galleys."
A68214,781,4,72,IMAGE,92,Fyrste Let vs speake of the Byshops and priestes.,First Let us speak of the Bishops and Priests.
A68214,782,4,72,IMAGE,92,"Theyr offyce was in the primatiue & fyrste churche, to be preachers of goddes worde, and ministers of Christes Sacramentes.","Their office was in the primitive & First Church, to be Preachers of God's word, and Ministers of Christ's Sacraments."
A68214,783,4,72,IMAGE,92,"Not to sacrifyce for ded nor lyue, not to synge, or masse or anye souche lyke.","Not to sacrifice for dead nor live, not to sing, or mass or any souche like."
A68214,784,4,72,IMAGE,92,"Unto the fyrst original must al these me as they be called, of the holye churche, be called:","Unto the fyrst original must all these me as they be called, of the holy Church, be called:"
A68214,785,4,72,IMAGE,92,"els by they no shepherdes, but rauenynge woulfes, to deuoure the shepe of God.","Else by they no shepherdess, but ravening wolves, to devour the sheep of God."
A68214,786,4,72,IMAGE,92,And that thys maye the better be done youre maiestie muste begyn wyth youre Chapell and Chapellanes:,And that this may the better be done your majesty must begin with your Chapel and Chapellanes:
A68214,787,4,72,IMAGE,92,make theym to serue the same soules that laboreth for theyr P A G Elxiii liuynges.,make them to serve the same Souls that Laboureth for their PAGElxiii PAGElxiii PAGElxiii PAGElxiii livings.
A68214,788,4,72,IMAGE,92,"If your Grace do it not, ye shal put your own selfe in daunger of God.","If your Grace do it not, you shall put your own self in danger of God."
A68214,789,4,72,IMAGE,92,"And from henceforth make your Chapel laynes men of the churche, and let the Chapell go.","And from henceforth make your Chapel laynes men of the Church, and let the Chapel go."
A68214,790,4,72,IMAGE,92,"And when your magesty hath done thys, your selfe cause all noble men of your realme to do the same.","And when your Majesty hath done this, your self cause all noble men of your realm to do the same."
A68214,791,4,72,IMAGE,92,"The reforme your Coleges in the Uniuersities, and se honest men to haue the leadynge and ouersyghte of the youth:","The reform your Colleges in the Universities, and see honest men to have the leading and ouersyghte of the youth:"
A68214,792,4,72,IMAGE,92,"suche as wyll amende, let them tarye styll in theyr offyces, suche as wyl no^ your magestie must remoue, if euer ye bryng the ship to quyetnes.","such as will amend, let them tarry still in their Offices, such as will no your Majesty must remove, if ever you bring the ship to quietness."
A68214,793,4,73,IMAGE,92,"Unto the clarcke from henceforth as ye wil auswere vnto it, gyue no benifice, or spirituall promocions to none, but to suche a one as can & wyll preach true doctryne, or els teache vnto the youth the Cathechisme, and healpe the people wyth some good councell,","Unto the clarcke from henceforth as you will auswere unto it, gyve no benefice, or spiritual promotions to none, but to such a one as can & will preach true Doctrine, or Else teach unto the youth the Catechism, and help the people with Some good council,"
A68214,794,4,73,IMAGE,92,"Or else cast the all into the seaithat is, put the out of theyr offyce, and put better in theyr places.","Or Else cast the all into the seaithat is, put the out of their office, and put better in their places."
A68214,795,4,73,IMAGE,92,"And beware of this vn godly pitye wherewith al men for the most part be veri much nowe adayes combred wythal, which wyll for pitye rather let a fole or an euyl man to enioye hys benefice, then a thousande soules to be broughte to know ledge?","And beware of this vn godly pity wherewith all men for the most part be very much now adays cumbered withal, which will for pity rather let a sole or an evil man to enjoy his benefice, then a thousande Souls to be brought to know ledge?"
A68214,796,4,73,IMAGE,92,thys in no pitye but rather a crueltye and kylling of the soule.,this in no pity but rather a cruelty and killing of the soul.
A68214,797,4,73,IMAGE,92,"Therfore if it should please the Magistrates to make a law that no man shuld haue Byshoprycke, benefyce, prebend, or other ecclesiastical P A G Elxiiii vocacion lenger then he vsed hym selfe accordyng to his vocacion, it were wonderful well","Therefore if it should please the Magistrates to make a law that no man should have Bishopric, benefice, prebend, or other ecclesiastical PAGElxiiii PAGElxiiii PAGElxiiii PAGElxiiii vocation longer then he used him self according to his vocation, it were wondered well"
A68214,798,4,73,IMAGE,93,"The noble men that byeth theyr offyces, and selleth agayne the iustice and the lawe, yt is a pointed to the office, must be admonyshed:","The noble men that buyeth their Offices, and Selleth again the Justice and the law, that is a pointed to the office, must be admonished:"
A68214,799,4,73,IMAGE,93,"in case they wyl not amende, into the sea wt theym.","in case they will not amend, into the sea with them."
A68214,800,4,73,IMAGE,93,Put theym out of their offyces and putte better in.,Put them out of their Offices and put better in.
A68214,801,4,73,IMAGE,93,"These Gentlemen that lyueth vpon dycynge, cardynge, ydlenes, or with other menes gooddes muste be also admonyshed:","These Gentlemen that liveth upon dycynge, carding, idleness, or with other menes God's must be also admonished:"
A68214,802,4,73,IMAGE,93,"yf they wyll not repente, altogether caste them in to the sea.","if they will not Repent, altogether cast them in to the sea."
A68214,803,4,74,IMAGE,93,"Folysh and preposterous pitye hath brought both king and the Lawes not onelye of thys realme, but also of God into contempte, and dayly wyl more and more if it be not fore seen.","Foolish and preposterous pity hath brought both King and the Laws not only of this realm, but also of God into contempt, and daily will more and more if it be not before seen."
A68214,804,4,74,IMAGE,93,"Nowe ye lawes that iustly shoulde be executed vpon theues, and murderers, is of folyshe pitye dyspensed wyth al, and manye iudge it were better to saue after hys opinion, then to damne after the commaundement of God.","Now you laws that justly should be executed upon thieves, and murderers, is of foolish pity dyspensed with all, and many judge it were better to save After his opinion, then to damn After the Commandment of God."
A68214,805,4,74,IMAGE,93,"For thei saye: O he is a tall felowe, and can do the kynge good seruice, it were pitye he should be hanged.","For they say: Oh he is a tall fellow, and can do the King good service, it were pity he should be hanged."
A68214,806,4,74,IMAGE,93,"But in case they knewe or goddes lawes or mannes lawes, and knewe what maintaineth best a commune wealthe they would saye:","But in case they knew or God's laws or Man's laws, and knew what maintaineth best a commune wealth they would say:"
A68214,807,4,74,IMAGE,93,"suche a thiefe or murderer can neuer do the Kynges Magestye better seruyce then when he is hanged for hys faute, that other men P A G Elxv may feare to offende the lawe, by hys example.","such a thief or murderer can never do the Kings Majesty better service then when he is hanged for his fault, that other men PAGElxv PAGElxv PAGElxv PAGElxv may Fear to offend the law, by his Exampl."
A68214,808,4,74,IMAGE,93,"Marke wher vnto thys preposterous and sinistre pitie hath brought the realme, to be pestered wt more theues then halfe Europe beside.","Mark where unto this preposterous and sinister pity hath brought the realm, to be pestered with more thieves then half Europe beside."
A68214,809,4,74,IMAGE,93,"In so much that a manne can not trauell suerlye by the way with twentye pounde in hys pourse, thoughe twentye men be together in a companie:","In so much that a man can not travel surly by the Way with twentye pound in his pourse, though twentye men be together in a company:"
A68214,810,4,74,IMAGE,93,as it was sene by experiece of late dayes to y great shame of al the iustices of the coutry and to the slaunder of the hole lawe and the realme.,as it was seen by experience of late days to y great shame of all the Justices of the country and to the slander of the hold law and the realm.
A68214,812,4,74,IMAGE,94,"The fraude, gyle, and Couetousnes of the lawers must either be amended, other thei theselues to be cast into the sea:","The fraud, gyle, and Covetousness of the Lawyers must either be amended, other they themselves to be cast into the sea:"
A68214,813,4,75,IMAGE,94,"For vnto thys hathe theyr crafte and filthy lucre broughte the enter your graces Court, may se ye magestye of a godly house and perceiue by the order of y familye that God dwelleth in the courte and realme.","For unto this hath their craft and filthy lucre brought the enter your graces Court, may see you Majesty of a godly house and perceive by the order of y family that God dwells in the court and realm."
A68214,814,4,75,IMAGE,94,"But (the more to be pitied) it is so nowe that who so euer enter & marcke the condicions of manye men in the courte, he shall fynde in the moste parte of the house hangyngs of gods woudes, hys fleshe and his bloud, wt such blasphemous othes as the deuyll hym selfe if he were incarnate woulde tremble to speake.","But (the more to be pitied) it is so now that who so ever enter & mark the conditions of many men in the court, he shall find in the most part of the house hangings of God's woudes, his Flesh and his blood, with such blasphemous Oaths as the Devil him self if he were incarnate would tremble to speak."
A68214,815,4,75,IMAGE,94,And greate wounder it is there falleth not fyre fro heauen to burne them and the house they tarye in.,And great wonder it is there falls not fire from heaven to burn them and the house they tarry in.
A68214,816,4,75,IMAGE,94,"Like wyse where as goddes lawes forbyddeth dise, and Cardes, and also the commune statutes of P A G Elxvii thys realme (the more shame it is) it is vsed daily and hourly in the Kynges Magestyes house, where as onelye the magestye of GOD is offended but many an honest man vndone in the yere.","Like wise where as God's laws forbiddeth dise, and Cards, and also the commune statutes of PAGElxvii PAGElxvii PAGElxvii PAGElxvii this realm (the more shame it is) it is used daily and hourly in the Kings Majesties house, where as only the Majesty of GOD is offended but many an honest man undone in the year."
A68214,817,4,75,IMAGE,94,"That dise house must be cast into the sea if it be not,","That dise house must be cast into the sea if it be not,"
A68214,818,4,75,IMAGE,94,God wyll caste the maynteyners thereof at length into hell.,God will cast the maynteyners thereof At length into hell.
A68214,819,4,75,IMAGE,94,What and if all men folowe thys godlye counsel of Ionas what wyll folow?,What and if all men follow this godly counsel of Jonah what will follow?
A68214,820,4,75,IMAGE,94,this that is in the texte.,this that is in the text.
A68214,821,4,75,IMAGE,94,The sea shal leue his ragynge.,The sea shall leave his raging.
A68214,823,4,75,IMAGE,95,As longe as Ionas was in the shyp there was no quyetnes:,As long as Jonah was in the ship there was no quietness:
A68214,824,4,75,IMAGE,95,nowe beinge in the sea all is at peace:,now being in the sea all is At peace:
A68214,825,4,76,IMAGE,95,"so shall it be wyth vs if we amend and cease from euyll doynges, as it is writen.","so shall it be with us if we amend and cease from evil doings, as it is written."
A68214,826,4,76,IMAGE,95,"Hieremy. ii.vi.vii. And thys is easye to be proued by example, that no comune wealth can be pacified excepte euyll doers be punished.ii. Par. xvii.","Jeremiah. ii.vi.vii. And this is easy to be proved by Exampl, that no Common wealth can be pacified except evil doers be punished ii Par. xvii."
A68214,827,4,76,IMAGE,95,"Iosaphat before he could brynge hys commune wealth to anye good poynte, restored good iudges to ye ciuile state of hys Realme, and true doctours to the ecclesiastical state of hys realme. Chap. xix.","Josaphat before he could bring his commune wealth to any good point, restored good judges to you civil state of his Realm, and true Doctors to the ecclesiastical state of his realm. Chap. xix."
A68214,828,4,76,IMAGE,95,The same maye we see in Dauyd ii.,The same may we see in David ii.
A68214,829,4,76,IMAGE,95,Samuel. viii.ii. Para. xxii. xxiii.,Samuel. viii.ii. Para. xxii. xxiii.
A68214,830,4,76,IMAGE,95,So dyd Artaxerses that sente Esdras to the Iewes; Esdras. vii.,So did Artaxerxes that sent Ezra to the Jews; Ezra. vii.
A68214,831,4,76,IMAGE,96,"The same order toke Cambises Cyrus sonne, though he was and idell manne, he caused the skynne of a corrupte P A G Elxviii Iudge to be pulled ouer hys heade, and to be nayled in the place of Iudgement, to putte other menne in feare how they corrupted iustyce.","The same order took Cambyses Cyrus son, though he was and Idle man, he caused the skin of a corrupt PAGElxviii PAGElxviii PAGElxviii PAGElxviii Judge to be pulled over his head, and to be nailed in the place of Judgement, to put other men in Fear how they corrupted Justice."
A68214,832,4,76,IMAGE,96,For the kepynge of all men in an order it were well if men woulde thyncke vpon the lawe of the Corinthes:,For the keeping of all men in an order it were well if men would think upon the law of the Corinthians:
A68214,833,4,76,IMAGE,96,whyche men maye reade in the Adagyes of Erasmus.,which men may read in the Adages of Erasmus.
A68214,834,4,76,IMAGE,96,The Adage is: Proteruiam fecit.,The Adage is: Proteruiam fecit.
A68214,836,4,76,IMAGE,97,"Where as euerye manne was bounde to gyue accompt howe he lyued, and maynetayned hym self.","Where as every man was bound to gyve account how he lived, and maintained him self."
A68214,837,4,76,IMAGE,97,And the same lawe had Solon at Athenes.,And the same law had Solon At Athens.
A68214,839,4,76,IMAGE,98,"When the Magystrate by neglygence or Proposterous pytye, wyll not punyshe for syn, then God strikethe, as ye may se by the vniuersal flowd,","When the Magistrate by negligence or Preposterous pity, will not Punish for sin, then God strikethe, as you may see by the universal flowed,"
A68214,840,4,77,IMAGE,98,"by the fyre in Sodome, and Gomor.","by the fire in Sodom, and Gomor."
A68214,841,4,77,IMAGE,98,"Gyue hede therefore most gracious Lordes, to punyshe these Ionasses, and to put better into theyr place, or els God wyll punysh either wt an euil beast, either with swerd either wyth famyne, either with pestilece, as it is writen Ezechiell.xiiii.","Gyve heed Therefore most gracious lords, to Punish these Jonah, and to put better into their place, or Else God will Punish either with an evil beast, either with sword either with famine, either with Pestilence, as it is written Ezekiel xiiii"
A68214,842,4,77,IMAGE,98,But in case ye wyl do it the sea wyll cease.,But in case you will do it the sea will cease.
A68214,843,4,77,IMAGE,98,As I praye God it maye.,As I pray God it may.
A68214,844,4,77,IMAGE,98,Amen.,Amen.
A68214,845,5,77,IMAGE,98,"P A G Elxix The fourth Sermon vpon Ionas, made by Iohn Hoper the.v. of Marche. The Preface.","PAGElxix PAGElxix PAGElxix PAGElxix The fourth Sermon upon Jonah, made by John Hoper the v of Marche. The Preface."
A68214,846,5,77,IMAGE,99,"S Ainte Paul sayeth: it is a moost true saying, and worthy to be receyued of euerye parte, that Christ Iesus came into thys worlde to saue synners.i.","Saint Saint Paul Saith: it is a most true saying, and worthy to be received of every part, that christ jesus Come into this world to save Sinners i"
A68214,847,5,77,IMAGE,99,Timo. i. Unto the whiche sayinge agreeth the wordes of oure Sauioure Christ. Luke.xix.,Timothy i. Unto the which saying agreeth the words of our Saviour christ. Luke xix
A68214,848,5,77,IMAGE,99,"The sonne of man came to seke, and saue that whiche was lost,","The son of man Come to seek, and save that which was lost,"
A68214,849,5,77,IMAGE,99,"Who is it amog vs all that woulde not ioyfully at the hearyng of so amiable & swete a saying, reioyce?","Who is it Among us all that would not joyfully At the hearing of so amiable & sweet a saying, rejoice?"
A68214,850,5,78,IMAGE,99,"seyng we be all miserable and cursed synners by nature, and yet woulde (as full of miserye and blyndenes as we be) be saued, wyshe euer to be out of payne.","sing we be all miserable and cursed Sinners by nature, and yet would (as full of misery and blindness as we be) be saved, wish ever to be out of pain."
A68214,851,5,78,IMAGE,99,"But in thys is all the hede to be taken, leste we sinisterlye vnderstande these confortable promises, which the deuil aueturth to swad vs vnto.","But in this is all the heed to be taken, lest we sinisterly understand these comfortable promises, which the Devil aueturth to swad us unto."
A68214,852,5,78,IMAGE,99,Wher as he ca not al together beriue and rob vs of the promises he wolde vs to construe & vnderstand the promises amis.,Where as he circa not all together beriue and rob us of the promises he would us to construe & understand the promises amiss.
A68214,853,5,78,IMAGE,99,"And where as these promises apertayneth to none but unto repetaunte synners, he dazeth, and deceyueth oure affeccion and loue we beare to oure selues, that he wyl beare vs in hande Gods promyse appertayneth as well to the impenitent and P A G Elxx neuer myndynge synner to amende, as vnto the sorowfull afflycted beleuyng sinner, and he that wyl study the amendemet of lyfe.","And where as these promises appertaineth to none but unto repetaunte Sinners, he dazeth, and deceiveth our affection and love we bear to our selves, that he will bear us in hand God's promise appertaineth as well to the impenitent and PAGElxx PAGElxx PAGElxx PAGElxx never minding sinner to amend, as unto the sorrowful afflicted believing sinner, and he that will study the amendemet of life."
A68214,854,5,78,IMAGE,99,"Against the which illusion and craft of the deuil,","Against the which illusion and craft of the Devil,"
A68214,855,5,78,IMAGE,99,Christ speaketh. Mat. ix., christ speaks. Mathew ix.
A68214,856,5,78,IMAGE,99,"Luc. v. I came not to call the iuste, but sinners to repentauce.","Luke v. I Come not to call the just, but Sinners to Repentance."
A68214,857,5,78,IMAGE,99,"Of the whyche repentaunce if we be destitute, nothyng auaileth vs the promises of God. Luc. xiii.","Of the which Repentance if we be destitute, nothing avails us the promises of God. Luke xiii."
A68214,858,5,78,IMAGE,99,"Excepte ye repente, all shall peryshe.","Except you Repent, all shall perish."
A68214,859,5,78,IMAGE,99,"And the former promyses were not so sweete, but these threatnynges be as bytter:","And the former promises were not so sweet, but these threatnynges be as bitter:"
A68214,860,5,78,IMAGE,99,"Not vnto all men, but vnto suche as be obstynatelye yuel or desperat.","Not unto all men, but unto such as be obstynatelye evil or desperate."
A68214,861,5,78,IMAGE,99,Against who cryeth Ihon Baptyste:,Against who Cries John Baptist:
A68214,862,5,78,IMAGE,99,Euen nowe is the axe putte vnto the roote of the tree:,Even now is the axe put unto the root of the tree:
A68214,864,5,79,IMAGE,100,"Euery tre that bryngeth furth no good fruite, is cut downe & put into the fyre. Luke.iii.","Every Tree that bringeth forth no good fruit, is Cut down & put into the fire. Luke iii"
A68214,866,5,79,IMAGE,101,But a ma myght aske to what purpose thys thyng is spoken of by me?,But a ma might ask to what purpose this thing is spoken of by me?
A68214,867,5,79,IMAGE,101,doutles to thys end to prosequute and folowe my matter begon.,doubtless to this end to prosequute and follow my matter begun.
A68214,868,5,79,IMAGE,101,"I sayd that the authours of thys vnquietnes in the realme in the churche,","I said that the Authors of this unquietness in the realm in the Church,"
A68214,869,5,79,IMAGE,101,"& in euerye housholde, were verye Ionasses, and those that troubled the shyppe:","& in every household, were very Jonah, and those that troubled the ship:"
A68214,870,5,79,IMAGE,101,"whyche oughte eyther to be amended or remoued out of their office, or els the shyppe maye neuer come to rest.","which ought either to be amended or removed out of their office, or Else the ship may never come to rest."
A68214,871,5,79,IMAGE,101,"But because these that be cast into the sea should not dispaire, ther must be some remedye founde to solace and conforte suche as be fallen into daunger of drownyng.","But Because these that be cast into the sea should not despair, there must be Some remedy found to solace and Comfort such as be fallen into danger of drowning."
A68214,873,5,79,IMAGE,102,P A G Elxxi Thys is the way:,PAGElxxi PAGElxxi PAGElxxi PAGElxxi This is the Way:
A68214,874,5,79,IMAGE,102,"if they take the admonicions and the admonitours getly and raile not agaynste them, neither wynke at their own faultes:","if they take the admonitions and the admonitours getly and rail not against them, neither wink At their own Faults:"
A68214,875,5,79,IMAGE,102,"but with a true repentaunce of the hart folowe thys our Prophet Ionas, who confessed hys faulte, and humblye asked remyssion & pardo for the same.","but with a true Repentance of the heart follow this our Prophet Jonah, who confessed his fault, and humbly asked remission & pardon for the same."
A68214,876,5,79,IMAGE,102,So shal euery siner be saued as he was accordinge to the othe of God Eze. xviii.,So shall every Synner be saved as he was according to the other of God Ezekiel xviii.
A68214,877,5,79,IMAGE,102,"As truly as I lyue sayth the Lord,","As truly as I live say the Lord,"
A68214,878,5,79,IMAGE,102,"I wyl not the deathe of a synner, but that he be conuerted and lyue.","I will not the death of a sinner, but that he be converted and live."
A68214,879,5,79,IMAGE,102,"Thys counsell of the Lorde excepte our troblous Ionasses folow thei shalbe drowned in the water of eternal damnacion, with Pharao.","This counsel of the Lord except our troublous Jonah follow they shall drowned in the water of Eternal damnation, with Pharaoh."
A68214,880,5,80,IMAGE,102,But as heretofore ye haue hearde howe Ionas for hys disobedience was punyshed:,But as heretofore you have heard how Jonah for his disobedience was punished:
A68214,881,5,80,IMAGE,102,"so now out of the texte ye shal hear how he repenting hys mysbehauiour and offences, is preserued in hys daungers:","so now out of the text you shall hear how he repenting his mysbehauiour and offences, is preserved in his dangers:"
A68214,882,5,80,IMAGE,102,"howe he prayeth, and at last how he is delyuered.","how he Prayeth, and At last how he is Delivered."
A68214,883,5,80,IMAGE,102,"And that I maye the better & more playnely teache and open the same,","And that I may the better & more plainly teach and open the same,"
A68214,884,5,80,IMAGE,102,I wyll deuyde the texte that foloweth into foure partes.,I will divide the text that Followeth into foure parts.
A68214,885,5,80,IMAGE,102,"The fyrst part conteineth the behauiour and doyngs of the shyppemen, after they had caste Ionas into the sea.","The fyrst part Containeth the behaviour and doings of the shyppemen, After they had cast Jonah into the sea."
A68214,886,5,80,IMAGE,102,The second part conteyneth howe Ionas beyng cast into the sea was receaued into the bely of the whale.,The second part Containeth how Jonah being cast into the sea was received into the belly of the whale.
A68214,887,5,80,IMAGE,102,The thyrde conteyneth the behauioure and doynges of Ionas in the whales bely.,The Third Containeth the behaviour and doings of Jonah in the Whale's belly.
A68214,889,5,80,IMAGE,103,"P A G Elxxii The fourth conteyneth the deliueraunce, and castynge out of Ionas from the bellye of the whale.","PAGElxxii PAGElxxii PAGElxxii PAGElxxii The fourth Containeth the deliverance, and casting out of Jonah from the belly of the whale."
A68214,890,5,80,IMAGE,103,"The fyrste. The texte sayeth those men feared wounderfullye the Lorde, and sacrificed vnto hym and made theyr vowes.","The First. The text Saith those men feared wonderfully the Lord, and sacrificed unto him and made their vows."
A68214,892,5,80,IMAGE,104,The shyppe men dyd these thre thynges:,The ship men did these Three things:
A68214,893,5,80,IMAGE,104,"they fered, they sacrificed, and vowed.","they feared, they sacrificed, and vowed."
A68214,895,5,80,IMAGE,105,"After they perceyued vpon the execucion of Ionas the sea to leaue hys trouble, they neglected not the true religio whiche they learned in theyr trouble, but are better and more strengthened in the same, for they feared the Lord, and hohoured hym onelye.","After they perceived upon the execution of Jonah the sea to leave his trouble, they neglected not the true Religio which they learned in their trouble, but Are better and more strengthened in the same, for they feared the Lord, and hohoured him only."
A68214,896,5,81,IMAGE,105,"Of these shyppe men let vs learne constancye, and perseueraunce in the true knowledge of god:","Of these ship men let us Learn constancy, and perseverance in the true knowledge of god:"
A68214,897,5,81,IMAGE,105,"and when we be deliuered out of daunger, lette vs * geue oure selues to * and folye of lyfe, as naturally we be inclined and propen^^ to do.","and when we be Delivered out of danger, let us * give our selves to * and folly of life, as naturally we be inclined and propen^^ to do."
A68214,899,5,81,IMAGE,106,Thus admonyshed Moses diligently the children.,Thus admonished Moses diligently the children.
A68214,900,5,81,IMAGE,106,"Deutro. vi. &.viii. yt whe they had receiued the aboundante benefites of the Lorde, they shoulde not in theire saturitie and aboundaunce be vnmindfull of the Lorde that brought them out of the land of Egypt, and the penurie and scarcitie of the deserte.","Deutro. vi. & viii that when they had received the aboundante benefits of the Lord, they should not in their saturity and abundance be unmindful of the Lord that brought them out of the land of Egypt, and the penury and scarcity of the desert."
A68214,902,5,81,IMAGE,107,The thankefulnes of these Mariners shalbe laied agaist vs at the daye of oure examinacion for oure vnthankefulnes:,The thankfulness of these Mariners shall laid aghast us At the day of our examination for our unthankfulness:
A68214,903,5,81,IMAGE,107,for God hathe not onelye P A G Elxxiii quyeted the sea for vs but also aboundantlye geuen vs the vse and commoditye booeth of sea and lande:,for God hath not only PAGElxxiii PAGElxxiii PAGElxxiii PAGElxxiii quiet the sea for us but also abundantly given us the use and commodity booeth of sea and land:
A68214,904,5,81,IMAGE,107,"and not onelye that for the rest and quyetnes of the bodye, but also he hath apeaced the sea of greate displeasure and damnacion eternall by castynge of hys onely beloued sonne Christe Iesus vpo the crosse, to cesse and apeace theire and displeasure betwene vs and hym:","and not only that for the rest and quietness of the body, but also he hath apeaced the sea of great displeasure and damnation Eternal by casting of his only Beloved son Christ jesus upon the cross, to cease and apeace their and displeasure between us and him:"
A68214,905,5,81,IMAGE,107,"& yet we neyther fere nor loue him, but with continuall hatred,","& yet we neither fere nor love him, but with continual hatred,"
A68214,906,5,81,IMAGE,107,"& despyte, contemne both him,","& despite, contemn both him,"
A68214,907,5,81,IMAGE,107,& his holy word. They do sacrifice.,& his holy word. They do sacrifice.
A68214,909,5,82,IMAGE,108,"T Hey thoughte it not inoughe inwardlye to honoure the Lord, but dyd outwarde sacrifice, to proprotest and declare vnto the worlde the good iudgement, fayeth,","THey THey Thought it not enough inwardly to honour the Lord, but did outward sacrifice, to proprotest and declare unto the world the good judgement, Faith,"
A68214,910,5,82,IMAGE,108,& knowledge they had in the Lord.,& knowledge they had in the Lord.
A68214,911,5,82,IMAGE,108,"So shuld we do: not only knowe god and feare hym inwardly, but also outewardly, with praier thakes geuyng and other good workes comaunded by God to declare the same, as they dyd by their sacrifices before y cuminge of Christe into oure fleshe.","So should we do: not only know god and Fear him inwardly, but also outewardly, with prayer Takes giving and other good works commanded by God to declare the same, as they did by their Sacrifices before y cuminge of Christ into our Flesh."
A68214,912,5,82,IMAGE,108,"The whyche were tipes, and significacions of Christe to come, that coulde not take awaye the synne of the worlde as Saynte Paule sayeth:","The which were tipes, and significations of Christ to come, that could not take away the sin of the world as Faint Paul Saith:"
A68214,913,5,82,IMAGE,108,Hebru.x. It is impossible that the bloude of Calues shoulde take awaye synne.,Hebrew x It is impossible that the blood of Calves should take away sin.
A68214,914,5,82,IMAGE,108,"Christes sacrifice once offered for all, by that once satisfied for al sinnes. Hebrues.ix.","Christ's sacrifice once offered for all, by that once satisfied for all Sins. Hebrews ix"
A68214,915,5,82,IMAGE,108,"And where P A G Elxxiiii as is remission of synne, there nedeth no more sacrifice.","And where PAGElxxiiii PAGElxxiiii PAGElxxiiii PAGElxxiiii as is remission of sin, there needeth no more sacrifice."
A68214,916,5,82,IMAGE,108,"It is therefore an vngodly doctrine that in thys tyme of the newe Testamente, teachethe anye other sacrifyce for synne, then the onelye death of Chryste.","It is Therefore an ungodly Doctrine that in this time of the new Testament, teacheth any other sacrifice for sin, then the only death of Christ."
A68214,918,5,82,IMAGE,109,"If question nowe be asked, is there then no Sacrifices now lefte to be done of Christian people?","If question now be asked, is there then no Sacrifices now left to be done of Christian people?"
A68214,919,5,82,IMAGE,109,"Yes truely, but none other then suche as oughte to be donne wythoute aulters.","Yes truly, but none other then such as ought to be done without Altars."
A68214,920,5,82,IMAGE,109,And they be of three sortes.,And they be of three sorts.
A68214,921,5,82,IMAGE,109,The fyrste is the Sacrifyces of thanckes gyuynge. Psalme.li.,The First is the Sacrifices of thanks gyving. Psalm li
A68214,922,5,82,IMAGE,109,"Amos the fourth, and fifte.","Amos the fourth, and Fifth."
A68214,923,5,82,IMAGE,109,Hebrues the thirtene. Oseas.xiiii.,Hebrews the thirtene. Hosea xiiii
